Q10334928,13304-62-6
Q2071515,60607-34-3
Q207843,10102-43-9
Q2073800,71048-87-8
Q207344,24938-64-5
Q209130,540-84-1
Q209171,581-50-0
Q209143,366-18-7
Q208942,291-69-0
Q2080990,944-22-9
Q2085533,1122-85-6
Q207722,289-95-2
Q209191,87-40-1
Q208130,502-65-8
Q209189,88-06-2
Q2071071,52-76-6
Q2090655,173352-39-1
Q2067922,9003-98-9
Q207051,107-35-7
Q2091170,13568-33-7
Q209183,2437-49-2
Q209155,138-81-8
Q209196,156-81-0
Q209168,408340-16-9
Q209162,25705-58-2
Q207442,7761-88-8
Q2091382,3452-97-9
Q209188,93-76-5
Q2088801,66656-29-9
Q2069306,69239-40-3
Q207688,112-80-1
Q207895,10102-44-0
Q208413,93384-43-1
Q2069290,1012-84-6
Q207920,591-81-1
Q209195,95-80-7
Q2088171,126-98-7
Q206690,10294-40-3
Q2064915,152-58-9
Q2080986,7200-26-2
Q2071034,42597-57-9
Q2069313,1607-17-6
Q2072745,133-67-5
Q2090740,7681-53-0
Q209120,2564-83-2
Q2069354,14868-53-2
Q2075398,82-05-3
Q2080732,593-39-5
Q2089283,124-12-9
Q2085485,101-62-2
Q209146,34588-40-4
Q2090804,77872-41-4
Q2074372,127-29-7
Q2083144,14176-49-9
Q2080033,33281-81-1
Q2085508,2150-58-5
Q2069346,222-93-5
Q2067805,34994-11-1
Q209194,129-66-8
Q209166,57383-80-9
Q2064889,387-79-1
Q2085502,13684-63-4
Q2088767,13824-74-3
Q208118,520-52-5
Q2079986,76-78-8
Q2068904,21738-25-0
Q208366,1330-20-7
Q2078825,16079-88-2
Q2069338,51043-92-6
Q2079440,510-15-6
Q209173,95-95-4
Q2070105,476-70-0
Q207466,9005-82-7
Q2075570,13455-12-4
Q2083871,130-01-8
Q209180,118-79-6
Q2080808,1675-54-3
Q209124,630-13-7
Q2068532,21770-86-5
Q209165,6363-31-1
Q209231,28165-52-8
Q209357,2698-41-1
Q209410,71698-08-3
Q209216,97-00-7
Q209257,15588-95-1
Q209310,580-22-3
Q209408,764-35-2
Q209323,75-26-3
Q209364,109-09-1
Q209210,2012-29-5
Q209336,503-17-3
Q209198,63164-16-9
Q209308,90-41-5
Q209251,42203-78-1
Q209264,110-13-4
Q209415,75-30-9
Q209277,101-38-2
Q209428,75-85-4
Q209343,507-20-0
Q209315,80-58-0
Q209384,149-57-5
Q209230,14753-51-6
Q209202,1777-82-8
Q209328,110-65-6
Q209450,91-59-8
Q209284,108-48-5
Q209463,60-12-8
Q209228,581-47-5
Q209407,78418-01-6
Q209269,3333-25-3
Q209448,119-75-5
Q209391,420-26-8
Q209197,21702-84-1
Q209307,6387-27-5
Q209376,111-15-9
Q209222,94-75-7
Q209389,371-62-0
Q209289,111-41-1
Q209301,15214-89-8
Q209427,115-19-5
Q209370,930-68-7
Q209314,78-76-2
Q209383,103-11-7
Q209355,16672-87-0
Q209242,71539-34-9
Q209255,69587-11-7
Q209227,119-26-6
Q209268,38603-09-7
Q209447,110-41-8
Q209347,78-86-4
Q209290,80-54-6
Q209319,6751-75-3
Q209262,207740-22-5
Q209388,104-76-7
Q209206,89-86-1
Q209275,583-93-7
Q209313,452-06-2
Q209354,107-07-3
Q209241,64638-07-9
Q209367,137-05-3
Q209226,51-28-5
Q2092340,137641-05-5
Q209267,625-86-5
Q209320,53847-30-6
Q209361,598-78-7
Q209205,120-83-2
Q209412,2889-31-8
Q209274,626-05-1
Q209453,79-46-9
Q209425,137-32-6
Q209438,534-22-5
Q209381,110-80-5
Q209366,7085-85-0
Q209281,83670-21-7
Q209379,123-05-7
Q209460,107-87-9
Q209432,115-18-4
Q209294,4432-31-9
Q209404,591-78-6
Q209445,107-83-5
Q209279,28177-54-0
Q209360,75-29-6
Q209332,78-92-2
Q209373,100-37-8
Q209345,79-07-2
Q209317,109-04-6
Q209260,24333-19-5
Q209232,24885-47-0
Q209273,608-33-3
Q2092736,447-53-0
Q209452,601-89-8
Q209286,76-54-0
Q209437,534-52-1
Q209211,119-27-7
Q209199,615-58-7
Q209309,79055-68-8
Q209444,96-47-9
Q209209,131-56-6
Q209457,600-18-0
Q209303,42542-07-4
Q2110317,21884-44-6
Q2104314,55134-13-9
Q211207,7783-93-9
Q2113676,27215-38-9
Q2142336,12018-18-7
Q2107846,13813-23-5
Q2108794,2238-07-5
Q2118652,1889-59-4
Q212774,58-86-6
Q2113171,6423-43-4
Q2104833,95-82-9
Q2107840,13536-53-3
Q2145567,482-96-2
Q2124819,15736-99-9
Q2103107,9005-71-4
Q2102184,28434-00-6
Q209469,2553-59-5
Q2112049,14024-61-4
Q2119649,129630-19-9
Q2107860,12037-29-5
Q209727,57-10-3
Q2098608,1314-15-4
Q2124519,90717-03-6
Q212553,108-78-1
Q2123248,2797-51-5
Q211433,110-82-7
Q2130328,13308-51-5
Q213511,114-07-8
Q213580,127-17-3
Q209470,75-33-2
Q2115937,15243-33-1
Q2103461,50594-66-6
Q210021,56-12-2
Q2099802,13813-46-2
Q2098236,1954-28-5
Q211205,7783-92-8
Q2095373,473-55-2
Q2095857,7783-98-4
Q2135917,1518-16-7
Q209475,504-31-4
Q2113282,4468-48-8
Q2096457,583-34-6
Q2109656,4630-95-9
Q210041,60-92-4
Q2112940,111479-05-1
Q2139543,209860-87-7
Q2102433,89067-15-2
Q2099072,505-52-2
Q2103259,357650-26-1
Q2095629,7785-70-8
Q211972,102-54-5
Q211737,7757-82-6
Q2119621,123312-89-0
Q2105937,65-30-5
Q209467,90-43-7
Q2106898,65-31-6
Q2111083,73624-47-2
Q210479,6032-29-7
Q2127492,39517-80-1
Q2113161,14630-40-1
Q2134581,2218-94-2
Q2129015,558-37-2
Q211509,196618-13-0
Q2095702,11116-32-8
Q2115736,141-10-6
Q209474,142-08-5
Q2111674,957-51-7
Q212093,87-99-0
Q2099796,15752-46-2
Q2121168,13980-00-2
Q212272,127-07-1
Q2145677,608-31-1
Q2111894,41198-08-7
Q2112899,478019-95-3
Q211086,7647-01-0
Q2116057,126833-17-8
Q2103104,9005-67-8
Q2096435,13473-38-6
Q2094797,38082-89-2
Q2113173,23950-58-5
Q2112916,1918-16-7
Q211891,7782-77-6
Q2135551,161265-03-8
Q2103922,89-79-2
Q2097441,630-19-3
Q2103492,6226-79-5
Q210385,110-86-1
Q2099805,31479-19-3
Q212171,145202-66-0
Q213050,110-15-6
Q20994,51803-78-2
Q2107847,13709-46-1
Q2119993,2103-64-2
Q209685,57-11-4
Q2130929,100-88-9
Q2122603,190-26-1
Q210402,439-14-5
Q209485,5944-41-2
Q2119916,96489-71-3
Q2120020,92-32-0
Q2171598,13465-49-1
Q215281,10099-74-8
Q2148325,2234-13-1
Q2171802,18979-61-8
Q2189778,108-89-4
Q2166700,397864-44-7
Q2162045,14104-20-2
Q2161003,6160-65-2
Q2171592,12137-25-6
Q2191936,3268-49-3
Q2189038,105879-13-8
Q218842,82626-48-0
Q2195995,135062-02-1
Q2167420,25641-18-3
Q2183990,13965-73-6
Q218507,118072-93-8
Q2200179,2893-78-9
Q218284,81872-10-8
Q218642,56-41-7
Q216935,137-58-6
Q217356,289-66-7
Q2171591,23317-41-1
Q2178381,11096-26-7
Q2171576,38869-23-7
Q219626,299-42-3
Q2156566,13721-39-6
Q2154695,104-88-1
Q2177832,14521-18-7
Q2193376,157283-68-6
Q2186340,1861-44-5
Q2173541,628-71-7
Q2171601,19559-54-7
Q2180922,626-38-0
Q2171589,15587-72-1
Q2173513,3209-22-1
Q2164462,67774-74-7
Q2162855,2934-07-8
Q2171583,3495-35-0
Q218820,139264-17-8
Q2151796,572924-54-0
Q2179180,31366-25-3
Q2172168,75-66-1
Q2191535,2243-62-1
Q2194382,133-06-2
Q214769,1309-48-4
Q2153134,21687-36-5
Q214863,7720-78-7
Q2184481,108-60-1
Q2171654,13126-12-0
Q2175117,13450-88-9
Q2185998,7789-80-2
Q219660,57455-37-5
Q2154494,625115-55-1
Q2189834,15597-88-3
Q2166066,141-13-9
Q2171595,13446-76-9
Q217994,13465-84-4
Q2149443,2955-38-6
Q2149707,26864-56-2
Q2171605,31083-74-6
Q216918,7783-90-6
Q2191895,144-48-9
Q2179522,536-80-1
Q2171574,13446-70-3
Q219957,68291-97-4
Q2170375,108-65-6
Q2184565,34123-59-6
Q2190150,423-55-2
Q2168450,92-88-6
Q2195393,162652-95-1
Q2171581,13446-73-6
Q2198030,827-52-1
Q2179668,106-48-9
Q2159639,2201-35-6
Q2178827,9011-13-6
Q219211,13772-47-9
Q2152381,110-12-3
Q2152394,116255-48-2
Q2195231,89-98-5
Q2187069,513-35-9
Q2161731,131-17-9
Q2197890,593-80-6
Q2171586,19088-74-5
Q217404,3123-67-9
Q2186476,99-45-6
Q2187383,81777-89-1
Q2190661,12003-67-7
Q219037,4039-32-1
Q2173897,112-14-1
Q2188539,1702-17-6
Q216852,51-48-9
Q2171580,13446-72-5
Q2159860,544-31-0
Q2182744,502-47-6
Q2183137,2905-69-3
Q219571,13446-75-8
Q2196683,107-14-2
Q2146170,150812-12-7
Q217311,2906-23-2
Q2191837,20656-23-9
Q2211240,76-25-5
Q223070,107-94-8
Q222995,20184-66-1
Q223042,156-87-6
Q2207705,10026-03-6
Q223014,3147-55-5
Q223083,513-86-0
Q223055,2623-86-1
Q223027,99-34-3
Q223068,6581-06-2
Q221307,123-92-2
Q220108,598-30-1
Q220676,420-12-2
Q2216854,541-73-1
Q223021,5327-44-6
Q223062,106-95-6
Q222987,615-55-4
Q222290,101-02-0
Q223026,7659-29-2
Q2216746,1282-37-7
Q2217000,99-19-4
Q2216812,13759-87-0
Q223020,4764-17-4
Q2211523,133865-89-1
Q2226212,129580-63-8
Q2212471,109-21-7
Q223005,74137-36-3
Q2214314,487-54-7
Q221520,396-01-0
Q223087,107-89-1
Q222993,1131-62-0
Q223012,626-41-5
Q2228916,14474-33-0
Q222174,525-82-6
Q223081,625-08-1
Q221945,128-37-0
Q223053,14381-51-2
Q220426,43200-80-2
Q221361,5786-21-0
Q2225366,120923-37-7
Q2216745,109-06-8
Q223066,96-24-2
Q2204200,127-51-5
Q221205,18496-25-8
Q223060,927-74-2
Q222998,4394-11-0
Q223045,99-05-8
Q221174,97240-79-4
Q223017,20981-79-7
Q223058,625-38-7
Q2228902,13465-59-3
Q2217808,99-30-9
Q222424,1393-87-9
Q222992,1197-09-7
Q223011,82801-81-8
Q223011,14089-52-2
Q222936,75-86-5
Q223080,928-49-4
Q223024,99-33-2
Q220246,287-25-2
Q223065,3327-22-8
Q221637,18683-91-5
Q223078,617-78-7
Q2211939,26536-12-9
Q2210953,88-14-2
Q223016,23654-92-4
Q223057,626-55-1
Q223029,123433-20-5
Q2209035,2143-53-5
Q222991,91-94-1
Q223023,133-91-5
Q2200861,16921-30-5
Q223092,300-85-6
Q2218184,128-39-2
Q222989,615-56-5
Q223036,1738-25-6
Q223008,111167-61-4
Q220672,95-14-7
Q2203957,5749-67-7
Q2216822,13465-58-2
Q2209121,3017-95-6
Q222983,75-97-8
Q223030,609-99-4
Q2202504,79622-59-6
Q223002,626-40-4
Q2214311,87-19-4
Q223071,1829-32-9
Q222010,207740-26-9
Q222968,119-90-4
Q223084,9029-50-9
Q2208070,57132-53-3
Q2214309,87-20-7
Q223069,626-60-8
Q221123,544-17-2
Q2204769,1113-02-6
Q2224522,935-95-5
Q223076,589-38-8
Q223089,109-00-2
Q2211758,141-95-7
Q2275328,191-24-2
Q2265307,31647-58-2
Q2252869,26590-75-0
Q2270,71-43-2
Q2231923,30560-19-1
Q223096,72242-03-6
Q2271580,17094-01-8
Q2276562,1637-39-4
Q2249494,406-58-6
Q2249673,594-11-6
Q2287905,142-04-1
Q2261930,60669-69-4
Q2285491,85-00-7
Q2242152,685-63-2
Q223113,109-96-6
Q2297773,155488-25-8
Q2230936,10450-55-2
Q2232750,13759-10-9
Q2234483,646-06-0
Q2253370,50838-36-3
Q2256447,7783-64-4
Q223412,37148-27-9
Q228143,53772-83-1
Q2244207,584-79-2
Q2278916,33956-49-9
Q2293747,41394-05-2
Q223105,2530-26-9
Q225045,56-23-5
Q223118,820-11-1
Q229839,553-26-4
Q2244355,548-89-0
Q228762,16816-67-4
Q2251215,525-79-1
Q2286646,606-20-2
Q2238032,999-61-1
Q2293867,12136-56-0
Q223112,96-22-0
Q2259258,54827-17-7
Q2285874,7783-99-5
Q2276594,22427-39-0
Q2268608,469-62-5
Q2288772,4206-58-0
Q223104,504-88-1
Q225543,499-75-2
Q2240116,79516-68-0
Q2276931,83-26-1
Q223111,96-42-4
Q2268349,1222-05-5
Q223099,56-49-5
Q2233075,589-91-3
Q2285817,12258-15-0
Q2287286,51771-52-9
Q2234978,533-96-0
Q223093,28822-58-4
Q2263999,33671-46-4
Q2231462,97-90-5
Q229811,482-67-7
Q223103,589-34-4
Q2268463,60-82-2
Q2267471,220119-17-5
Q226905,26615-21-4
Q2277172,597-63-7
Q2286631,28789-35-7
Q2260189,118-56-9
Q2266549,422556-08-9
Q2256493,10026-07-0
Q2246598,12501-23-4
Q2284773,12165-21-8
Q2291605,103775-10-6
Q223098,5287-45-6
Q225854,65589-70-0
Q2250787,581-42-0
Q2279782,6788-84-7
Q2283186,542-88-1
Q2295630,23642-01-5
Q2294431,95-51-2
Q2266164,17466-45-4
Q2257129,122-60-1
Q2298283,148-82-3
Q2256677,73-03-3
Q2254797,105816-04-4
Q2238767,528-29-0
Q2289396,37311-25-4
Q2235989,74-11-3
Q2292279,13241-33-3
Q2240068,93-04-9
Q223097,67423-45-4
Q2252299,15421-15-5
Q2257591,101-14-4
Q2292678,930-30-3
Q2252158,3588-17-8
Q2277900,24646-85-3
Q229843,838-88-0
Q2255407,37199-66-9
Q2295855,188627-80-7
Q223107,96-14-0
Q2281857,292-65-9
Q223101,123-51-3
Q223600,57-00-1
Q2273017,2451-01-6
Q229989,16870-28-3
Q2301593,12015-53-1
Q229848,101-77-9
Q2314,7647-14-5
Q229970,99-96-7
Q229942,66142-81-2
Q2342544,51037-30-0
Q2332385,13444-94-5
Q2319020,66592-87-8
Q2345401,738-87-4
Q2327739,90729-43-4
Q229855,3395-03-7
Q2338639,42874-03-3
Q2317288,5373-11-5
Q2317288,68321-11-9
Q2303663,151253-59-7
Q230007,3568-94-3
Q2324735,91-14-5
Q229962,459-02-9
Q2319112,104-28-9
Q2313471,3116-76-5
Q2325775,62893-19-0
Q229847,2563-26-0
Q2337168,95977-29-0
Q229982,75899-68-2
Q2331543,552-79-4
Q229995,100-06-1
Q229939,10199-89-0
Q230021,822-36-6
Q2317381,1759-53-1
Q2339944,13986-26-0
Q229933,17345-77-6
Q2331023,13464-82-9
Q229946,59-85-8
Q229987,99-76-3
Q2344582,7481-89-2
Q230013,14116-06-4
Q2346494,12008-32-1
Q229887,94-82-6
Q2317929,1034-01-1
Q229859,616-74-0
Q233052,578-94-9
Q2311164,13748-45-0
Q229953,2785-89-9
Q2304195,36330-85-5
Q230005,23239-32-9
Q230005,64-13-1
Q2329715,14639-25-9
Q2345425,28132-48-1
Q229960,63065-90-7
Q2336041,17026-44-7
Q230018,1124-33-0
Q2335618,24967-94-0
Q229945,626-61-9
Q229986,21894-72-4
Q2339592,12166-29-9
Q2313787,10026-08-1
Q230012,836-30-6
Q2325594,53902-12-8
Q229999,691-37-2
Q2336340,10103-60-3
Q2316104,13596-35-5
Q2313188,165101-51-9
Q2340670,1121-92-2
Q2331626,10060-11-4
Q229924,65-49-6
Q2330050,12007-56-6
Q2303660,55335-06-3
Q2338052,66332-96-5
Q229878,2456-81-7
Q230017,1942-45-6
Q229944,64-12-0
Q229929,18455-37-3
Q23118,50-37-3
Q2342917,10101-52-7
Q230024,626-64-2
Q2335652,4026-23-7
Q2330068,12007-33-9
Q2346835,1115-99-7
Q2341200,10596-23-3
Q2329841,40596-69-8
Q2331638,676-99-3
Q229936,6626-15-9
Q2336792,13780-57-9
Q2306557,98-54-4
Q229849,77400-30-7
Q2319620,5419-55-6
Q229943,928-51-8
Q230010,3316-09-4
Q229969,136-77-6
Q2346228,7790-48-9
Q229897,1122-58-3
Q229922,92-67-1
Q229950,619-60-3
Q2307855,765-34-4
Q2301181,500008-45-7
Q2315302,2757-90-6
Q229935,1120-87-2
Q229907,261-96-1
Q229976,120-47-8
Q2357050,12040-08-3
Q2351340,292-14-8
Q2363204,73667-51-3
Q2364943,61-56-3
Q2358705,1146-99-2
Q238544,56-69-9
Q2392379,287-77-4
Q2357007,67227-57-0
Q2371053,158394-29-7
Q2357048,12071-29-3
Q238472,38404-93-2
Q2365016,112811-59-3
Q2377382,6827-26-5
Q2377062,300-57-2
Q2356813,510758-28-8
Q2356148,20824-29-7
Q2358640,10049-23-7
Q2356063,291-21-4
Q2372037,335104-84-2
Q2366389,12018-01-8
Q2353907,35607-66-0
Q2362603,827-61-2
Q2350865,13520-78-0
Q2359711,51-12-7
Q2374514,63638-91-5
Q238477,51-20-7
Q2354896,1511-62-2
Q2360598,18109-80-3
Q2365363,2201-19-6
Q238569,5965-83-3
Q2358146,16773-42-5
Q2352935,557-91-5
Q238550,607-32-9
Q2387553,106635-80-7
Q238563,554-01-8
Q2366874,131983-72-7
Q238535,1123-95-1
Q2364821,62-38-4
Q2356505,134-80-5
Q238548,607-34-1
Q2392530,61318-90-9
Q2356487,8001-50-1
Q2376479,530-56-3
Q238913,38183-12-9
Q2353163,13520-79-1
Q23767,471-34-1
Q2364327,350-12-9
Q2376404,496-49-1
Q2368524,67564-91-4
Q2384787,82097-50-5
Q2347337,603-36-1
Q2350850,13520-77-9
Q238490,2022-85-7
Q2351742,919-16-4
Q238475,7240-90-6
Q2350349,13320-71-3
Q2380192,205-99-2
Q238554,96-97-9
Q2365760,463-57-0
Q2348776,12069-94-2
Q238482,1820-81-1
Q2357209,1083-30-3
Q2352946,13520-76-8
Q238382,28718-90-3
Q238546,2140-61-6
Q2356808,37501-24-9
Q2365033,914-00-1
Q238474,106-60-5
Q2379098,112-50-5
Q2355160,591-35-5
Q238512,51-21-8
Q2377230,22831-42-1
Q2349415,10241-03-9
Q2348790,13777-25-8
Q2359690,58-38-8
Q2365803,2201-15-2
Q2347328,594-10-5
Q2349635,13451-11-1
Q2372095,87130-20-9
Q2359590,70-00-8
Q2364532,10102-20-2
Q2371753,10294-29-8
Q2380600,1301-96-8
Q2352958,12136-78-6
Q2349422,14475-63-9
Q2365493,33643-46-8
Q2357676,7790-38-7
Q238532,54-16-0
Q2377169,624-48-6
Q2370426,7727-37-9
Q2349030,20298-86-6
Q2386110,59870-68-7
Q2364499,141776-32-1
Q2354337,8002-43-5
Q2362625,50-00-0
Q2384557,115532-50-8
Q2358739,16923-58-3
Q2366402,14221-01-3
Q2348812,24621-21-4
Q2350838,13470-14-9
Q2403411,5528-43-8
Q2419001,70-29-1
Q241150,125-84-8
Q2416556,108-83-8
Q2396092,7757-88-2
Q243354,75-15-0
Q2421281,59669-26-0
Q2404344,13071-79-9
Q2404316,5902-51-2
Q240642,99-66-1
Q2423649,75621-03-3
Q2405371,2800-34-2
Q2405051,586-62-9
Q2404323,13692-99-4
Q239569,86-42-0
Q2425263,1114-71-2
Q2406967,2784-73-8
Q2426626,66246-88-6
Q2413111,20642-05-1
Q2406741,97-99-4
Q2419305,3452-07-1
Q2393323,82-93-9
Q2421278,77-32-7
Q2409972,1506-02-1
Q2436874,1271-29-0
Q2421303,13598-51-1
Q241006,16679-58-6
Q2436290,142-28-9
Q2398745,1180-71-8
Q2435355,593-75-9
Q2398786,342-10-9
Q2404890,2426-08-6
Q2402963,478-01-3
Q2436787,13135-31-4
Q2406759,144538-83-0
Q2410244,14970-71-9
Q241374,128-13-2
Q2413085,17095-63-5
Q2419445,93413-62-8
Q243309,461-06-3
Q2402883,1069-54-1
Q2393348,155206-00-1
Q2405605,12034-41-2
Q2423101,882-33-7
Q2393470,504-29-0
Q2423089,527-17-3
Q2397253,27223-35-4
Q2436773,13783-04-5
Q2394183,2235-90-7
Q2409080,499-40-1
Q2424853,553-12-8
Q2406745,36333-80-9
Q2406717,112281-77-3
Q239426,65271-80-9
Q2407844,8002-09-3
Q241678,150-97-0
Q2405873,78129-68-7
Q2409,7647-01-0
Q241992,31430-15-6
Q2394106,3106-85-2
Q2403334,1075-49-6
Q2393155,6074-84-6
Q242715,7446-11-9
Q241516,25655-41-8
Q2415195,110-49-6
Q2403718,100-25-4
Q2429316,25340-17-4
Q2421270,1110-40-3
Q2406703,576-55-6
Q2398298,475-81-0
Q2408891,10102-45-1
Q2436380,4746-67-2
Q2394026,101200-48-0
Q2406710,22248-79-9
Q2408443,521-67-5
Q2405872,25103-58-6
Q240557,7789-69-7
Q2406764,99393-55-2
Q239778,3572-43-8
Q2404338,886-50-0
Q2421313,492-22-8
Q2436884,3087-36-3
Q239816,28289-54-5
Q239593,13870-90-1
Q2420582,12025-34-2
Q242627,109-97-7
Q2396216,470-29-1
Q2419291,92339-11-2
Q2412605,126-27-2
Q239729,7778-50-9
Q243547,6740-88-1
Q2398875,96182-53-5
Q241049,108-01-0
Q2392858,142891-20-1
Q239598,516-05-2
Q2436776,13783-07-8
Q2406707,488-47-1
Q2436330,149-45-1
Q2410205,108-45-2
Q2415193,80844-07-1
Q2452578,1461-22-9
Q2443360,850352-53-3
Q2450581,120-55-8
Q2446707,8002-33-3
Q2484016,32647-67-9
Q2468,7664-39-3
Q2442174,13445-50-6
Q2454085,13674-87-8
Q2472366,92-61-5
Q245486,3301-79-9
Q2462,10034-85-2
Q2455834,88122-99-0
Q2459042,477202-00-9
Q2452431,24017-47-8
Q2453103,334-99-6
Q2447,10035-10-6
Q2439845,483-63-6
Q2454591,1314-85-8
Q2453392,2181-42-2
Q2467070,106-92-3
Q2453085,354-32-5
Q2456591,548-83-4
Q2474643,75-89-8
Q2454102,15573-38-3
Q2459938,13765-74-4
Q245503,2641-81-8
Q245280,50-70-4
Q2462902,52-51-7
Q2481557,548-76-5
Q2469366,99-54-7
Q2456821,554-72-3
Q2479965,116-30-3
Q2468481,2624-63-7
Q2482223,516-54-1
Q2463110,80-73-9
Q245508,89687-39-8
Q2450337,145258-61-3
Q2469703,105-74-8
Q2481797,82064-83-3
Q2478067,546-60-1
Q2452855,13569-63-6
Q243992,110-00-9
Q2452215,103794-87-2
Q2453107,1493-11-4
Q2453270,13154-24-0
Q244408,15307-86-5
Q2462507,23936-60-9
Q2458673,34580-14-8
Q2436886,12423-80-2
Q2452235,39373-03-0
Q246414,5714-22-7
Q2456812,574-64-1
Q2443527,13568-40-6
Q245501,921-62-0
Q2468529,359-35-3
Q245489,53188-07-1
Q2443122,9003-01-4
Q2477138,37996-47-7
Q2465218,41340-25-4
Q2454095,13674-84-5
Q2452042,3520-42-1
Q2468963,31110-56-2
Q2444495,19597-69-4
Q2471714,469-79-4
Q245490,92-48-8
Q244150,7177-48-2
Q2468763,106-98-9
Q245488,204697-37-0
Q2467410,120-29-6
Q2437536,105-67-9
Q2468955,1867-62-5
Q2452254,43121-43-3
Q2452518,3354-82-3
Q2454194,5138-18-1
Q2456972,583-59-5
Q246405,18820-63-8
Q2452973,502759-67-3
Q2454094,78-42-2
Q2453240,2451-62-9
Q2466871,13465-66-2
Q2451840,12036-09-8
Q245520,114622-49-0
Q245825,15930-75-3
Q2453929,258-72-0
Q2453524,97645-24-4
Q2449982,15421-84-8
Q245487,157-03-9
Q2448755,2548-87-0
Q2453066,112-49-2
Q2453936,791-31-1
Q245911,7783-97-3
Q2443865,126-72-7
Q2453531,88-88-0
Q2453158,26644-46-2
Q2479795,5936-11-8
Q2467043,119340-53-3
Q2474785,9005-37-2
Q2442512,56-55-3
Q2467555,67-45-8
Q2443432,207740-24-7
Q2505402,651-48-9
Q2519096,99387-89-0
Q2497496,108-42-9
Q2496906,65-45-2
Q2537889,542-69-8
Q2557463,10048-95-0
Q2527228,1184-84-5
Q253746,121-57-3
Q2493124,13465-60-6
Q2501558,638-95-9
Q248842,185-94-4
Q248550,75706-12-6
Q255680,22232-71-9
Q2518759,14484-69-6
Q2557383,618904-86-2
Q2514085,473-67-6
Q250442,13422-55-4
Q2506051,10294-70-9
Q249208,1109-28-0
Q2506092,31430-18-9
Q250455,3658-77-3
Q2550553,481-42-5
Q2512764,14220-21-4
Q2546,7758-02-3
Q2506962,530-54-1
Q251347,52-86-8
Q2528979,108-11-2
Q2487682,91714-94-2
Q253118,592-90-5
Q253187,80373-22-4
Q2497958,622-97-9
Q2537076,78-48-8
Q2535469,88-67-5
Q2510417,498-00-0
Q2543569,8022-00-2
Q2509958,13595-30-7
Q2532970,27554-26-3
Q2520005,585-18-2
Q255564,104-46-1
Q2510480,67469-78-7
Q2514069,119-38-0
Q2522451,134-04-3
Q2530372,587-85-9
Q2548040,123-30-8
Q2537147,102-06-7
Q2521416,95-70-5
Q2535800,14989-30-1
Q2504388,501-92-8
Q2522876,2156-96-9
Q2527233,105-38-4
Q2510124,41766-80-7
Q2499963,13775-18-3
Q2533641,131-53-3
Q2503726,627-44-1
Q255968,60-32-2
Q251005,1400-61-9
Q2552927,88040-23-7
Q2502747,1190307-88-0
Q251793,353-50-4
Q2498231,430-53-5
Q2541149,85-87-0
Q2493733,592-27-8
Q2553496,56391-56-1
Q248466,7681-93-8
Q2522890,13709-59-6
Q2526479,204656-20-2
Q252344,105-59-9
Q2557079,95-94-3
Q250360,3811-75-4
Q2518436,16969-45-2
Q254768,28172-17-0
Q252536,1304-76-3
Q251698,20537-88-6
Q2505731,7790-44-5
Q252602,1056634-68-4
Q2490514,18949-81-0
Q2546851,90-65-3
Q2527503,55625-78-0
Q2499888,519-09-5
Q255933,131-99-7
Q2526386,4880-88-0
Q252251,68-19-9
Q2505864,12164-94-2
Q2539029,106-88-7
Q2488722,35764-59-1
Q2496351,14901-63-4
Q2542075,109-02-4
Q2548975,475-80-9
Q254296,103577-45-3
Q2555245,29679-58-1
Q252975,34822-89-4
Q2506823,156-34-3
Q2555060,68-35-9
Q2504403,624-90-8
Q2509768,111-44-4
Q2491361,15696-40-9
Q2491625,463-84-3
Q2499953,13470-19-4
Q2533785,88-72-2
Q2500533,14452-93-8
Q2565173,7782-89-0
Q2574472,3420-59-5
Q2570341,33629-47-9
Q2601859,70458-92-3
Q2587934,2644-64-6
Q259277,7240-37-1
Q2567814,108-03-2
Q2592220,12067-46-8
Q259271,87-02-5
Q257331,18883-66-4
Q2560993,1313-49-1
Q2602246,69712-56-7
Q2593238,4156-16-5
Q2582737,25339-17-7
Q2606497,86-22-6
Q25807,107-16-4
Q2595963,591-23-1
Q2601832,34787-01-4
Q2583808,21324-40-3
Q256431,4682-50-2
Q2608767,479-12-9
Q260375,54635-62-0
Q259015,2956-16-3
Q2599853,925705-41-5
Q2613693,12137-74-5
Q258591,73963-72-1
Q2594649,105-41-9
Q2567690,72287-26-4
Q258450,61-33-6
Q261167,50847-11-5
Q2605497,80-49-9
Q261261,7783-35-9
Q260326,65899-73-2
Q2608288,5591-45-7
Q256602,85721-33-1
Q2577904,696-71-9
Q2570844,138071-82-6
Q2597946,121-87-9
Q2563692,14545-72-3
Q258734,27251-84-9
Q256502,463-40-1
Q2613252,13450-91-4
Q2592158,13472-33-8
Q2566421,13106-47-3
Q2563907,79-44-7
Q259300,578-76-7
Q2613093,38333-35-6
Q256369,833-48-7
Q2601503,13813-44-0
Q2575439,7320-34-5
Q2613976,10022-50-1
Q259075,3681-93-4
Q259546,3672-15-9
Q257590,471-25-0
Q2613543,6533-73-9
Q2595726,52662-10-9
Q26075,74-90-8
Q2601498,19357-86-9
Q2602750,22494-42-4
Q258759,12036-44-1
Q259374,90-74-4
Q2598558,2425-10-7
Q2573741,14215-33-9
Q25774,75-13-8
Q256982,507-19-7
Q257127,592-04-1
Q2577578,1569-69-3
Q2613177,93240-66-5
